iter	Passed	Remaining
0	2	254
1	4	203
2	5	177
3	6	158
4	7	150
5	9	144
6	10	138
7	11	132
8	12	127
9	13	122
10	14	118
11	15	116
12	17	113
13	17	110
14	18	106
15	19	103
16	20	100
17	21	97
18	22	95
19	23	92
20	23	90
21	24	87
22	25	85
23	26	83
24	27	82
25	28	80
26	29	78
27	29	76
28	30	74
29	31	72
30	32	71
31	32	69
32	33	67
33	34	66
34	34	64
35	35	62
36	35	61
37	36	59
38	37	58
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	40	50
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
